Year,Mean_NDVI
2000,1942.6830789504222
2001,3387.112016412071
2002,2746.9092450427565
2003,3373.4793261992486
2004,2882.5842360439724
2005,2991.1226799824494
2006,2898.8184441597105
2007,3673.2111616113116
2008,3624.4699842657205
2009,3487.210423601208
2010,3628.8570895362413
2011,3452.9035736688897
2012,3589.690796694318
2013,2401.05527414341
2014,2078.1677609686444
2015,2991.3771506712687
2016,552.9111317089927
2017,4123.89917598305
2018,3517.8781982687515
2019,3125.1058401153086
2020,3833.1544743943364
2021,3216.74987751918
2022,4013.982246406303
2023,3414.9678711371434
2024,4791.461734994183
